cntry,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,prtvtcat,prtvtdbe,prtvtdbg,prtvtgch,prtvtbcy,prtvtecz,prtvede1,prtvede2,prtvtddk,prtvtgee,prtvtees,prtvtdfi,prtvtdfr,prtvtcgb,prtvtahr,prtvtfhu,prtvtcie,prtvtcis,prtvtcit,prtvblt1,prtvblt2,prtvblt3,prtvtalv,prtvtme,prtvtgnl,prtvtbno,prtvtdpl,prtvtcpt,prtvtrs,prtvtcse,prtvtfsi,prtvtdsk,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,clsprty,prtcldat,prtcldbe,prtcldbg,prtclgch,prtclbcy,prtclecz,prtclede,prtclddk,prtclgee,prtclfes,prtclefi,prtclffr,prtclcgb,prtclahr,prtclghu,prtcleie,prtclcis,prtcldit,prtclblt,prtclalv,prtclme,prtclfnl,prtclbno,prtclhpl,prtclept,prtclrs,prtclcse,prtclfsi,prtcldsk,prtdgcl,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,hmsfmlsh,hmsacld,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgblg,rlgdnm,rlgdnbat,rlgdnbe,rlgdnach,rlgdncy,rlgdnade,rlgdnafi,rlgdngb,rlgdnhu,rlgdnie,rlgdnais,rlgdnlt,rlgdnlv,rlgdme,rlgdnnl,rlgdnno,rlgdnapl,rlgdnrs,rlgdnase,rlgdnask,rlgblge,rlgdnme,rlgdebat,rlgdebe,rlgdeach,rlgdecy,rlgdeade,rlgdeafi,rlgdegb,rlgdehu,rlgdeie,rlgdeais,rlgdelt,rlgdelv,rlgdeme,rlgdenl,rlgdeno,rlgdeapl,rlgders,rlgdease,rlgdeask,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzshipd,brncntr,cntbrthd,livecnta,lnghom1,lnghom2,blgetmg,facntr,fbrncntc,mocntr,mbrncntc,admdw,vteurmmb,vteumbgb,vteubcmb,evpdemp,pdempyr,lvpntyr,evlvptn,lvptnyr,evmar,maryr,bthcld,nbthcld,fcldbrn,ycldbyr,ngchld,ygcdbyr,ggchld,admge,ageadlt,agemage,ageoage,iaglptn,iagmr,iagpnt,iagrtr,tygledu,tyglvp,tygmr,tygpnt,tygrtr,tolvpnt,tochld,towkht,anvcld,alvgptn,acldnmr,aftjbyc,advcyc,plnftr,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,gndr13,gndr14,gndr15,agea,yrbrn,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,yrbrn13,yrbrn14,yrbrn15,rshipa2,rshipa3,rshipa4,rshipa5,rshipa6,rshipa7,rshipa8,rshipa9,rshipa10,rshipa11,rshipa12,rshipa13,rshipa14,rshipa15,rshpsts,rshpsgb,lvgptnea,dvrcdeva,marsts,marstgb,maritalb,chldhhe,domicil,edulvlb,eisced,edlveat,edlvebe,edlvebg,edlvdch,edlvgcy,edlvdcz,edubde1,eduade2,eduade3,edlvddk,edlvdee,edlvges,edlvdfi,edlvdfr,educgb1,edubgb2,edagegb,edlvehr,edlvdhu,edlvdie,edlvdis,edlveit,edlvdlt,edlvdlv,edlvdme,edlvenl,edlvdno,edlvgpl,edlvdpt,edlvdrs,edlvdse,edlvesi,edlvdsk,eduyrs,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,dngref,dngdk,dngna,mainact,mnactic,crpdwk,pdjobev,pdjobyr,emplrel,emplno,wrkctra,estsz,jbspv,njbspv,wkdcorga,iorgact,wkhct,icwhct,wkhtot,nacer2,tporgwk,isco08,wrkac6m,uemp3m,uemp12m,uemp5yr,mbtru,hincsrca,hinctnta,hincfel,iincsrc,edulvlpb,eiscedp,edlvpeat,edlvpebe,edlvpebg,edlvpdch,edlvpgcy,edlvpdcz,edupbde1,edupade2,edupade3,edlvpddk,edlvpdee,edlvpfes,edlvpdfi,edlvpdfr,edupcgb1,edupbgb2,edagepgb,edlvpehr,edlvpdhu,edlvpdie,edlvpdis,edlvpeit,edlvpdlt,edlvpdlv,edlvpdme,edlvpenl,edlvpdno,edlvpfpl,edlvpdpt,edlvpdrs,edlvpdse,edlvpesi,edlvpdsk,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,dngdkp,dngnapp,dngrefp,dngnap,mnactp,crpdwkp,isco08p,emprelp,wkhtotp,edulvlfb,eiscedf,edlvfeat,edlvfebe,edlvfebg,edlvfdch,edlvfgcy,edlvfdcz,edufbde1,edufade2,edufade3,edlvfddk,edlvfdee,edlvffes,edlvfdfi,edlvfdfr,edufcgb1,edufbgb2,edagefgb,edlvfehr,edlvfdhu,edlvfdie,edlvfdis,edlvfeit,edlvfdlt,edlvfdlv,edlvfdme,edlvfenl,edlvfdno,edlvffpl,edlvfdpt,edlvfdrs,edlvfdse,edlvfesi,edlvfdsk,emprf14,occf14b,edulvlmb,eiscedm,edlvmeat,edlvmebe,edlvmebg,edlvmdch,edlvmgcy,edlvmdcz,edumbde1,edumade2,edumade3,edlvmddk,edlvmdee,edlvmfes,edlvmdfi,edlvmdfr,edumcgb1,edumbgb2,edagemgb,edlvmehr,edlvmdhu,edlvmdie,edlvmdis,edlvmeit,edlvmdlt,edlvmdlv,edlvmdme,edlvmenl,edlvmdno,edlvmfpl,edlvmdpt,edlvmdrs,edlvmdse,edlvmesi,edlvmdsk,emprm14,occm14b,atncrse,anctry1,anctry2,frprtpl,gvintcz,poltran,ifredu,ifrjob,evfredu,evfrjob,fvgabc,infqbst,grspnum,grsplet,netinum,netilet,grspfr,netifr,frlgrsp,frlneti,occinfr,topinfr,btminfr,wltdffr,recskil,recexp,recknow,recimg,recgndr,sofrdst,sofrwrk,sofrpr,sofrprv,ppldsrv,jstprev,pcmpinj,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,region,regunit,dweight,pspwght,pweight,anweight
FR,30,5,120,5,8,7,3,2,1,2,3,9,10,10,2,2,8,8,1,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,7,8,4,4,7,6,6,2,2,5,4,8,1,2,2,5,5,5,8,6,4,3,2,2,2,3,7,5,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,10,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,2,1,,,1,1994,1989,1,1991,1,1991,1,5,1992,2007,0,6666,6,1,0,0,0,19,20,0,60,16,18,18,18,55,40,45,60,3,3,3,5,5,4,2,2,1,6,6,6,6,6,6,,,,,,,,50,1969,2007,6666,6666,6666,6666,6666,6666,,,,,,,,2,66,66,66,66,66,66,,,,,,,,66,,1,1,4,,4,6,1,720,7,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,21,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,4,2,66666,10,5,15,1,45,85,2,2310,2,2,6,6,3,1,9,1,1,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,720,7,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,2,1,720,7,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,3,66,1,11051,11050,3,2,1,10,10,4,4,1,2,888888888,4,3000,66,0,0,666666666,666666666,-2,0,-2,2,3,3,3,3,1,3,2,1,4,2,2,4,3,5,3,5,3,5,3,3,4,4,3,3,5,5,5,3,4,2,3,2,4,FRK2,2,0.539836287,0.407055438,2.726686716,1.109912654
FR,60,2,6666,10,8,10,3,1,1,1,1,0,0,5,0,0,0,2,1,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,88,2,0,0,0,5,9,1,1,5,1,3,2,2,2,3,5,5,7,6,3,3,2,2,2,2,8,8,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,7,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,2,ES,1,6666,1,88,,,1,1958,1960,1,1960,1,1960,1,3,1961,1965,6,1991,1,2,25,30,80,25,25,30,60,14,18,18,20,59,30,50,65,1,5,5,5,3,8,1,2,6,6,6,6,6,6,6,,,,,,,,78,1941,6666,6666,6666,6666,6666,6666,6666,,,,,,,,66,66,66,66,66,66,66,,,,,,,,66,,1,1,5,,5,1,1,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2001,1,66666,1,1,2,66666,8,8,48,1,48,45,4,4120,2,2,6,6,3,4,2,2,66,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,8,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,88,2,13070,555555,2,2,2,5,5,5,5,2,2,666666666,66,1500,66,6,-2,666666666,1700,-1,-2,-2,-2,3,3,2,2,2,2,2,2,5,4,4,4,2,5,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,FRB0,2,0.53802973,0.408331841,2.726686716,1.113393007
FR,60,5,120,2,6,5,3,1,1,2,1,0,2,3,2,1,1,2,2,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,5,9,5,4,4,5,5,1,1,5,2,3,1,2,2,7,7,6,8,5,2,4,1,1,3,3,8,3,2,66,,,,,,,,,,,,,,,,,,,,2,66,,,,,,,,,,,,,,,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,3,2,,,1,1993,1993,1,1995,1,2001,1,3,1994,2009,0,6666,6,2,25,40,80,25,28,28,60,16,18,20,20,50,25,55,65,3,3,3,3,3,7,3,2,1,1,6,6,6,6,6,,,,,,,,45,1974,1967,2009,6666,6666,6666,6666,6666,,,,,,,,1,2,66,66,66,66,66,,,,,,,,1,,1,2,66,,1,6,4,323,4,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,12,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,4,2,66666,8,7,40,1,40,85,1,9112,2,1,1,2,1,2,7,2,1,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,7411,2,60,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,8,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,8,2,11050,555555,3,2,2,5,5,6,6,1,2,1825,66,1440,66,0,0,666666666,666666666,0,0,-1,-1,3,4,2,1,1,1,3,1,4,3,3,3,4,6,1,4,3,4,5,3,3,4,5,4,5,4,5,5,5,4,4,6,4,FRF3,2,1.129431725,1.011397958,2.726686716,2.757765376
FR,60,1,6666,1,8,4,4,1,1,1,1,0,1,8,1,0,0,0,1,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,5,9,0,1,0,7,8,2,4,3,3,0,3,3,3,0,0,88,8,6,1,3,2,2,2,1,10,0,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,8,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,3,88,,,1,1947,1953,1,1953,1,1953,1,1,1953,6666,1,1999,2,2,18,20,90,24,111,24,60,16,20,18,18,60,25,888,60,3,3,3,3,3,5,2,2,1,6,6,6,6,6,6,,,,,,,,90,1929,1928,6666,6666,6666,6666,6666,6666,,,,,,,,1,66,66,66,66,66,66,,,,,,,,1,,2,2,66,,1,1,4,8888,88,,,,,,,,,,,,,,8888,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,1993,2,1,6,1,2,66666,10,10,666,2,888,10,5,7512,2,2,6,6,3,4,1,3,4,113,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,4,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,4,2,11050,555555,8,3,1,5,7,10,8,2,2,666666666,66,600,66,6,-3,666666666,1200,0,0,0,0,3,3,3,2,2,4,1,1,3,3,3,3,3,3,3,5,1,3,4,1,1,1,3,3,3,1,5,1,1,1,1,1,1,FRL0,2,1.140319109,0.955244124,2.726686716,2.604651463
FR,120,5,120,3,4,3,2,2,1,2,2,3,3,6,2,2,5,6,3,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,7,3,1,5,2,3,5,5,1,5,2,5,2,2,2,6,4,5,4,6,4,2,2,1,1,3,8,6,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,1,1,,,1,2003,2002,1,2010,1,2012,1,1,2012,6666,66,6666,6,1,25,35,65,20,27,27,65,18,18,20,20,55,25,40,65,5,5,5,5,5,4,2,1,2,6,6,6,6,6,6,,,,,,,,34,1984,2012,6666,6666,6666,6666,6666,6666,,,,,,,,2,66,66,66,66,66,66,,,,,,,,66,,1,1,4,,4,6,2,710,7,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,15,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,5,1,20,10,9,40,1,60,22,4,2145,2,1,2,2,3,1,10,2,1,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,720,7,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,1,5,321,3,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,2,5,1,11058,555555,3,3,3,9,8,3,4,1,2,4700,66,3650,66,-2,-2,6000,4500,2,0,1,0,4,4,2,1,1,5,2,4,5,3,4,4,4,2,2,4,2,4,2,3,2,1,1,4,3,2,5,2,2,2,3,5,3,FRG0,2,0.56142652,0.712319314,2.726686716,1.942271612
FR,120,5,240,5,7,6,2,2,2,1,2,2,0,8,2,0,3,3,2,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,2,1,2,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,8,7,5,1,8,7,8,1,1,5,3,1,2,2,1,8,8,5,3,6,3,3,2,3,2,2,10,10,2,66,,,,,,,,,,,,,,,,,,,,2,66,,,,,,,,,,,,,,,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,2,1,,,1,1969,1975,1,1975,1,1977,2,66,6666,6666,66,6666,6,1,20,40,75,25,25,25,60,19,18,20,20,50,30,50,60,3,5,5,5,5,10,1,2,6,6,6,6,6,6,6,,,,,,,,65,1953,6666,6666,6666,6666,6666,6666,6666,,,,,,,,66,66,66,66,66,66,66,,,,,,,,66,,1,2,5,,5,2,4,213,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2016,1,66666,1,3,2,66666,10,0,35,1,37,78,4,3343,2,1,1,2,3,4,3,3,66,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,710,7,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,4,66,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,3,2,15090,11050,2,2,1,7,0,2,2,2,2,666666666,66,1700,66,6,-2,666666666,2000,-1,0,-3,3,3,3,2,4,4,1,1,1,5,4,5,5,1,3,1,2,1,4,6,1,5,4,1,3,4,4,6,1,5,1,3,5,5,FRF2,2,0.568302274,0.61566782,2.726686716,1.678733266
FR,30,5,540,1,6,2,3,1,2,1,2,5,3,7,1,1,5,6,1,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,1,2,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,5,8,2,2,4,6,5,2,1,5,2,6,2,2,2,5,7,6,8,6,3,3,2,2,2,3,8,6,2,66,,,,,,,,,,,,,,,,,,,,2,66,,,,,,,,,,,,,,,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,1,1,,,1,2011,2008,1,2010,2,6666,2,66,6666,6666,66,6666,6,1,19,23,70,18,25,25,111,16,16,20,16,0,0,45,65,4,4,4,4,4,7,1,2,6,6,6,6,6,6,6,,,,,,,,25,1994,6666,6666,6666,6666,6666,6666,6666,,,,,,,,66,66,66,66,66,66,66,,,,,,,,66,,1,2,6,,6,2,1,323,4,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,19,0,1,0,0,0,0,0,0,0,0,0,0,66,2,2,2,6666,6,66666,6,6,6,66666,66,66,666,6,666,666,66,66666,6,2,6,6,3,8,88,1,66,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,520,5,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,2,2,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,2,2,1,11050,13070,1,1,1,6,5,3,3,6,6,666666666,66,666666666,66,6,6,666666666,666666666,6,3,-4,4,3,3,1,2,1,2,1,2,3,3,4,4,2,4,2,2,4,2,4,2,1,4,3,1,5,2,4,1,2,1,2,3,3,FRJ2,2,0.544481635,0.655121148,2.726686716,1.786310131
FR,120,5,240,5,2,3,1,1,3,1,3,0,0,7,0,0,2,7,3,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,2,1,1,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,1,8,3,0,0,0,6,1,1,5,1,0,1,2,3,2,5,5,7,6,1,3,2,3,3,3,4,5,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,6,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,BE,2,BE,1988,FRE,0,2,2,BE,2,BE,3,1,,,1,1989,1988,1,1988,1,1988,1,3,1990,2004,0,6666,6,2,30,40,62,30,35,33,65,16,25,25,29,40,35,45,65,3,4,3,3,3,9,4,2,1,2,2,6,6,6,6,,,,,,,,49,1969,1958,1994,2004,6666,6666,6666,6666,,,,,,,,1,2,2,66,66,66,66,,,,,,,,3,,6,2,5,,5,6,3,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,10,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,2,2,2,66666,5,0,19,1,25,87,4,9111,2,2,6,6,1,1,8,2,1,113,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,0,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,66,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,3,66,2,11020,555555,1,2,1,7,8,3,3,1,2,777777777,2,851,66,4,-4,1900,1200,-4,0,-2,-1,2,1,4,1,3,3,4,2,4,4,4,5,5,5,2,5,3,1,6,1,2,2,1,2,6,8,3,5,6,1,2,2,1,FRF2,2,1.70490694,1.526729703,2.726686716,4.1629136
FR,30,5,120,1,5,5,3,1,2,1,2,2,5,5,2,1,1,3,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,2,2,1,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,3,2,1,1,5,1,5,3,3,3,1,1,3,5,6,2,1,2,2,4,1,5,3,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,5,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,1,1,,,1,1977,1980,1,1978,1,1981,1,2,1981,1986,2,2009,6,1,30,50,80,25,0,35,65,20,30,30,30,50,25,50,65,3,3,3,3,3,8,2,2,1,6,6,6,6,6,6,,,,,,,,60,1958,1957,6666,6666,6666,6666,6666,6666,,,,,,,,1,66,66,66,66,66,66,,,,,,,,1,,2,2,66,,1,2,5,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,10,1,0,0,0,0,0,0,1,0,0,0,0,1,1,6,6,6666,1,66666,2,3,2,66666,8,0,26,1,50,87,3,5329,2,1,2,1,3,1,2,3,1,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,9312,1,45,8888,88,,,,,,,,,,,,,,8888,,,,,,,,,,,,,,,,,,,,4,66,8888,88,,,,,,,,,,,,,,8888,,,,,,,,,,,,,,,,,,,,4,66,2,11050,555555,1,1,8,1,1,4,4,1,2,888888888,1,888888888,1,-3,-3,1300,1000,-3,4,0,-1,3,3,4,2,3,2,1,1,5,4,1,1,2,5,1,5,5,6,2,2,1,5,4,4,6,3,6,2,5,1,2,2,5,FRK1,2,1.123602271,0.896106362,2.726686716,2.443401314
FR,60,3,6666,3,7,9,2,5,4,4,4,5,3,3,3,3,5,5,3,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,3,10,3,3,3,3,88,1,1,1,4,5,2,2,2,10,10,10,10,6,1,2,2,3,2,2,8,88,2,66,,,,,,,,,,,,,,,,,,,,2,66,,,,,,,,,,,,,,,,,,,,0,7,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,CN,2,CN,2010,FRE,0,1,2,CN,2,CN,2,65,,,1,1983,1979,1,1986,1,1986,1,1,1991,6666,0,6666,6,2,16,50,100,40,45,40,90,18,38,35,40,70,0,0,0,5,5,5,5,5,8,2,2,1,6,6,6,6,6,6,,,,,,,,57,1961,1964,6666,6666,6666,6666,6666,6666,,,,,,,,1,66,66,66,66,66,66,,,,,,,,1,,2,1,66,,1,1,3,620,6,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,19,0,0,0,1,0,0,0,1,0,0,0,0,8,8,2,1,2017,2,0,6,1,2,66666,0,0,666,2,888,87,3,2643,1,1,1,1,3,1,6,1,1,520,5,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,3118,1,50,8888,88,,,,,,,,,,,,,,8888,,,,,,,,,,,,,,,,,,,,4,66,8888,88,,,,,,,,,,,,,,8888,,,,,,,,,,,,,,,,,,,,4,66,2,51010,555555,4,3,3,88,5,0,3,1,2,0,66,0,66,6,6,666666666,666666666,-1,0,-3,-2,3,3,3,2,2,1,3,1,5,4,2,2,1,6,1,6,5,6,6,1,1,1,1,5,6,3,6,6,6,5,1,6,6,FRC2,2,1.116678476,0.700569034,2.726686716,1.910232278
FR,180,5,240,3,4,6,1,2,2,3,3,3,1,5,2,2,4,0,1,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,1,1,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,1,10,4,2,1,2,3,8,1,1,5,2,5,3,3,3,5,5,2,6,6,5,2,1,2,3,1,8,3,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,8,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6666,1,6666,6666,FRE,ENG,2,1,6666,1,6666,2,2,,,1,2001,2012,1,2015,2,6666,2,66,6666,6666,66,6666,6,2,30,40,70,25,28,28,50,20,16,20,18,20,25,38,38,3,2,2,2,2,0,3,1,2,1,6,6,6,6,6,,,,,,,,37,1982,1981,2006,6666,6666,6666,6666,6666,,,,,,,,1,2,66,66,66,66,66,,,,,,,,3,,6,2,6,,6,6,4,313,4,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,1,0,0,0,0,0,0,0,66,5,2,1,2016,2,0,6,1,2,66666,10,10,20,1,20,62,5,2320,2,1,1,1,3,5,1,3,9,323,4,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,66,2,66666,6,666,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,6,213,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,1,3,2,11050,11020,3,2,3,7,3,3,3,6,6,666666666,66,666666666,66,6,6,666666666,666666666,6,2,-4,-4,3,3,2,4,2,1,2,1,4,2,5,1,1,4,1,2,1,2,4,1,2,1,1,1,3,1,6,1,3,2,1,3,2,FRE1,2,1.13136673,0.883410394,2.726686716,2.408783387
